state,year,visitors
Johor,2017,13141
Johor,2018,13487
Johor,2019,14274
Johor,2020,7243
Johor,2021,3658
Johor,2022,12376
Johor,2023,15805
Johor,2024,17138
Kedah,2017,13305
Kedah,2018,14480
Kedah,2019,14831
Kedah,2020,10108
Kedah,2021,4023
Kedah,2022,11186
Kedah,2023,13444
Kedah,2024,14651
Kelantan,2017,9624
Kelantan,2018,9846
Kelantan,2019,10986
Kelantan,2020,6058
Kelantan,2021,1921
Kelantan,2022,6627
Kelantan,2023,7549
Kelantan,2024,10514
Melaka,2017,12625
Melaka,2018,13123
Melaka,2019,13979
Melaka,2020,7275
Melaka,2021,3878
Melaka,2022,11757
Melaka,2023,15559
Melaka,2024,19128
Negeri Sembilan,2017,10822
Negeri Sembilan,2018,12802
Negeri Sembilan,2019,13303
Negeri Sembilan,2020,7918
Negeri Sembilan,2021,5485
Negeri Sembilan,2022,11490
Negeri Sembilan,2023,14959
Negeri Sembilan,2024,17785
Pahang,2017,16491
Pahang,2018,18111
Pahang,2019,18498
Pahang,2020,9905
Pahang,2021,3405
Pahang,2022,13189
Pahang,2023,16456
Pahang,2024,20174
Penang,2017,12643
Penang,2018,14450
Penang,2019,15411
Penang,2020,8929
Penang,2021,5061
Penang,2022,10003
Penang,2023,13128
Penang,2024,16605
Perak,2017,20110
Perak,2018,17553
Perak,2019,21070
Perak,2020,13173
Perak,2021,4489
Perak,2022,14567
Perak,2023,17108
Perak,2024,21776
Perlis,2017,1414
Perlis,2018,2156
Perlis,2019,2088
Perlis,2020,1193
Perlis,2021,407
Perlis,2022,1669
Perlis,2023,1951
Perlis,2024,3225
Selangor,2017,25491
Selangor,2018,30179
Selangor,2019,33589
Selangor,2020,19715
Selangor,2021,10212
Selangor,2022,21990
Selangor,2023,27579
Selangor,2024,34461
Terengganu,2017,12979
Terengganu,2018,13742
Terengganu,2019,14158
Terengganu,2020,7420
Terengganu,2021,3719
Terengganu,2022,10233
Terengganu,2023,11761
Terengganu,2024,14461
Sabah,2017,17792
Sabah,2018,20360
Sabah,2019,22035
Sabah,2020,10337
Sabah,2021,3815
Sabah,2022,12589
Sabah,2023,16080
Sabah,2024,20592
Sarawak,2017,17670
Sarawak,2018,19380
Sarawak,2019,19793
Sarawak,2020,9393
Sarawak,2021,6511
Sarawak,2022,15465
Sarawak,2023,17901
Sarawak,2024,19626
Kuala Lumpur,2017,19049
Kuala Lumpur,2018,19165
Kuala Lumpur,2019,22633
Kuala Lumpur,2020,12435
Kuala Lumpur,2021,9116
Kuala Lumpur,2022,16913
Kuala Lumpur,2023,22233
Kuala Lumpur,2024,26983
Labuan,2017,381
Labuan,2018,545
Labuan,2019,524
Labuan,2020,107
Labuan,2021,54
Labuan,2022,244
Labuan,2023,331
Labuan,2024,450
Putrajaya,2017,1872
Putrajaya,2018,1892
Putrajaya,2019,1949
Putrajaya,2020,451
Putrajaya,2021,223
Putrajaya,2022,1306
Putrajaya,2023,1900
Putrajaya,2024,2557
