year,country,arrivals,latitude,longitude
2020,Australia,85148,-24.7761086,134.755
2020,Bangladesh,57670,24.4769288,90.2934413
2020,Brunei,187788,4.4137155,114.5653908
2020,China,394813,35.000074,104.999927
2020,Indonesia,792231,-2.4833826,117.8902853
2020,India,201631,22.3511148,78.6677428
2020,Japan,98775,36.5748441,139.2394179
2020,Pakistan,36609,30.3308401,71.247499
2020,Philippines,97011,12.7503486,122.7312101
2020,Singapore,2777821,1.357107,103.8194992
2020,Thailand,537336,14.8971921,100.83273
2020,Taiwan,66860,23.9739374,120.9820179
2020,Vietnam,72079,15.9266657,107.9650855
2021,Australia,1900,-24.7761086,134.755
2021,Bangladesh,8061,24.4769288,90.2934413
2021,Brunei,4162,4.4137155,114.5653908
2021,China,15555,35.000074,104.999927
2021,Indonesia,20048,-2.4833826,117.8902853
2021,India,14485,22.3511148,78.6677428
2021,Japan,6817,36.5748441,139.2394179
2021,Pakistan,5183,30.3308401,71.247499
2021,Philippines,7840,12.7503486,122.7312101
2021,Singapore,17692,1.357107,103.8194992
2021,Thailand,319365,14.8971921,100.83273
2021,Taiwan,1161,23.9739374,120.9820179
2021,Vietnam,1305,15.9266657,107.9650855
2022,Australia,179375,-24.7761086,134.755
2022,Bangladesh,239144,24.4769288,90.2934413
2022,Brunei,398291,4.4137155,114.5653908
2022,China,294311,35.000074,104.999927
2022,Indonesia,1742038,-2.4833826,117.8902853
2022,India,472326,22.3511148,78.6677428
2022,Japan,127017,36.5748441,139.2394179
2022,Pakistan,88260,30.3308401,71.247499
2022,Philippines,234363,12.7503486,122.7312101
2022,Singapore,8389031,1.357107,103.8194992
2022,Thailand,1213634,14.8971921,100.83273
2022,Taiwan,58917,23.9739374,120.9820179
2022,Vietnam,200122,15.9266657,107.9650855
2023,Australia,409096,-24.7761086,134.755
2023,Bangladesh,635545,24.4769288,90.2934413
2023,Brunei,1113225,4.4137155,114.5653908
2023,China,1661719,35.000074,104.999927
2023,Indonesia,3734821,-2.4833826,117.8902853
2023,India,930548,22.3511148,78.6677428
2023,Japan,324050,36.5748441,139.2394179
2023,Pakistan,157774,30.3308401,71.247499
2023,Philippines,510580,12.7503486,122.7312101
2023,Singapore,14885712,1.357107,103.8194992
2023,Thailand,2362222,14.8971921,100.83273
2023,Taiwan,314100,23.9739374,120.9820179
2023,Vietnam,402145,15.9266657,107.9650855
2024,Australia,357525,-24.7761086,134.755
2024,Bangladesh,334011,24.4769288,90.2934413
2024,Brunei,1435830,4.4137155,114.5653908
2024,China,3211029,35.000074,104.999927
2024,Indonesia,3596939,-2.4833826,117.8902853
2024,India,1214148,22.3511148,78.6677428
2024,Japan,343665,36.5748441,139.2394179
2024,Pakistan,116427,30.3308401,71.247499
2024,Philippines,506081,12.7503486,122.7312101
2024,Singapore,15049829,1.357107,103.8194992
2024,Thailand,1962819,14.8971921,100.83273
2024,Taiwan,369188,23.9739374,120.9820179
2024,Vietnam,343800,15.9266657,107.9650855
