year,country,arrivals
2020,MAR,2337
2020,Afghanistan,564
2020,AGO,18
2020,ALB,197
2020,AND,15
2020,ARE,751
2020,ARG,2823
2020,ARM,184
2020,ATA,1
2020,ATG,49
2020,AUS,85148
2020,AUT,3776
2020,AZE,322
2020,BDI,4
2020,BEL,4491
2020,BEN,16
2020,BFA,13
2020,BGD,57670
2020,BGR,1397
2020,BHR,595
2020,BHS,14
2020,BIH,239
2020,BLR,1259
2020,BLZ,21
2020,BOL,74
2020,BRA,4144
2020,BRB,21
2020,BRN,187788
2020,BTN,134
2020,BWA,55
2020,CAF,1
2020,CAN,19574
2020,CHE,6043
2020,CHL,1318
2020,CHN,394813
2020,CIV,59
2020,CMR,83
2020,COD,32
2020,COG,7
2020,COL,454
2020,COM,49
2020,CPV,11
2020,CRI,192
2020,CUB,97
2020,CYP,187
2020,CZE,4774
2020,DEU,31137
2020,DJI,39
2020,DMA,117
2020,DNK,6811
2020,DOM,65
2020,DZA,2092
2020,ECU,206
2020,EGY,6951
2020,ERI,65
2020,ESP,7612
2020,EST,1415
2020,ETH,109
2020,FIN,5753
2020,FJI,385
2020,FRA,33939
2020,FSM,3
2020,GAB,16
2020,GBR,75176
2020,GEO,195
2020,GHA,190
2020,GIN,191
2020,GLP,1
2020,GMB,174
2020,GNB,8
2020,GNQ,9
2020,GRC,976
2020,GRD,60
2020,GTM,46
2020,GUY,18
2020,HKG,99
2020,HND,77
2020,HRV,1001
2020,HTI,15
2020,HUN,3764
2020,IDN,792231
2020,IND,201631
2020,IRL,4663
2020,IRN,9437
2020,IRQ,4022
2020,ISL,272
2020,ITA,11293
2020,JAM,82
2020,JOR,2621
2020,JPN,98775
2020,KAZ,7939
2020,KEN,1027
2020,KGZ,1312
2020,KHM,20710
2020,KIR,40
2020,KNA,136
2020,KOR,140362
2020,KWT,1481
2020,LAO,6646
2020,LBN,639
2020,LBR,25
2020,LBY,1863
2020,LCA,34
2020,LIE,25
2020,LKA,10368
2020,LSO,14
2020,LTU,1364
2020,LUX,147
2020,LVA,942
2020,MCO,11
2020,MDA,140
2020,MDG,145
2020,MDV,5117
2020,MEX,1651
2020,MHL,10
2020,MKD,129
2020,MLI,31
2020,MLT,136
2020,MMR,36809
2020,MNE,78
2020,MNG,1379
2020,MNP,2
2020,MOZ,118
2020,MRT,72
2020,MUS,2440
2020,MWI,67
2020,MYT,1
2020,NAM,62
2020,NER,12
2020,NGA,2132
2020,NIC,27
2020,NLD,17045
2020,NOR,4172
2020,NPL,33558
2020,NRU,3
2020,NZL,10816
2020,OMN,3377
2020,PAK,36609
2020,PAN,121
2020,PER,508
2020,PHL,97011
2020,PNG,200
2020,POL,8386
2020,PRK,8
2020,PRT,2228
2020,PRY,35
2020,PSE,1215
2020,QAT,230
2020,ROU,3120
2020,RUS,33674
2020,RWA,19
2020,SAU,24594
2020,SDN,3074
2020,SEN,176
2020,SGP,2777821
2020,SLB,45
2020,SLE,122
2020,SLV,54
2020,SMR,8
2020,SOM,876
2020,SRB,354
2020,SSD,60
2020,STP,10
2020,SUR,32
2020,SVK,2306
2020,SVN,662
2020,SWE,10271
2020,SWZ,24
2020,SYC,280
2020,SYR,2307
2020,TCD,59
2020,TGO,30
2020,THA,537336
2020,TJK,326
2020,TKL,2
2020,TKM,361
2020,TLS,258
2020,TON,23
2020,TTO,115
2020,TUN,884
2020,TUR,3778
2020,TWN,66860
2020,TZA,615
2020,UGA,339
2020,UKR,7653
2020,URY,480
2020,USA,54456
2020,UZB,4122
2020,VAT,6
2020,VCT,5
2020,VEN,323
2020,VNM,72079
2020,VUT,226
2020,WSM,9
2020,XXX,3034
2020,YEM,6429
2020,ZAF,4876
2020,ZAR,1
2020,ZMB,239
2020,ZWE,474
2021,MAR,121
2021,Afghanistan,304
2021,AGO,4
2021,ALB,15
2021,ANT,1
2021,ARE,103
2021,ARG,97
2021,ARM,8
2021,ATG,2
2021,AUS,1900
2021,AUT,227
2021,AZE,43
2021,BDI,12
2021,BEL,250
2021,BEN,2
2021,BFA,2
2021,BGD,8061
2021,BGR,147
2021,BHR,27
2021,BIH,56
2021,BLR,12
2021,BLZ,6
2021,BOL,2
2021,BRA,304
2021,BRB,5
2021,BRN,4162
2021,BTN,17
2021,BWA,9
2021,CAF,2
2021,CAN,804
2021,CHE,289
2021,CHL,37
2021,CHN,15555
2021,CIV,12
2021,CMR,25
2021,COD,15
2021,COG,1
2021,COL,76
2021,COM,24
2021,CRI,91
2021,CUB,4
2021,CYP,8
2021,CZE,88
2021,DEU,1512
2021,DJI,51
2021,DMA,20
2021,DNK,331
2021,DOM,1
2021,DZA,158
2021,ECU,8
2021,EGY,1289
2021,ERI,14
2021,ESP,384
2021,EST,27
2021,ETH,51
2021,FIN,183
2021,FJI,10
2021,FRA,1977
2021,GAB,8
2021,GBR,5007
2021,GEO,45
2021,GHA,84
2021,GIN,94
2021,GMB,19
2021,GNQ,12
2021,GRC,108
2021,GRD,4
2021,GTM,3
2021,HKG,174
2021,HND,13
2021,HRV,341
2021,HTI,1
2021,HUN,94
2021,IDN,20048
2021,IND,14485
2021,IRL,246
2021,IRN,759
2021,IRQ,702
2021,ISL,4
2021,ITA,694
2021,JAM,6
2021,JOR,423
2021,JPN,6817
2021,KAZ,242
2021,KEN,258
2021,KGZ,59
2021,KHM,403
2021,KIR,40
2021,KNA,6
2021,KOR,5348
2021,KWT,58
2021,LAO,554
2021,LBN,73
2021,LBR,23
2021,LBY,609
2021,LCA,3
2021,LIE,3
2021,LKA,830
2021,LSO,2
2021,LTU,63
2021,LUX,10
2021,LVA,48
2021,MCO,3
2021,MDA,3
2021,MDG,3
2021,MDV,948
2021,MEX,120
2021,MHL,2
2021,MKD,11
2021,MLI,19
2021,MLT,13
2021,MMR,1658
2021,MNE,76
2021,MNG,19
2021,MOZ,51
2021,MRT,42
2021,MUS,146
2021,MWI,31
2021,NAM,19
2021,NER,2
2021,NGA,1267
2021,NIC,8
2021,NLD,865
2021,NOR,240
2021,NPL,1132
2021,NZL,305
2021,OMN,187
2021,PAK,5183
2021,PAN,21
2021,PER,22
2021,PHL,7840
2021,PNG,12
2021,POL,358
2021,PRK,1
2021,PRT,151
2021,PSE,251
2021,QAT,50
2021,ROU,334
2021,RUS,955
2021,RWA,15
2021,SAU,1147
2021,SDN,692
2021,SEN,50
2021,SGP,17692
2021,SGS,1
2021,SLB,2
2021,SLE,21
2021,SLV,2
2021,SMR,1
2021,SOM,402
2021,SRB,34
2021,SSD,38
2021,STP,2
2021,SVK,110
2021,SVN,20
2021,SWE,433
2021,SWZ,11
2021,SYC,103
2021,SYR,410
2021,TCD,19
2021,TGO,6
2021,THA,319365
2021,TJK,38
2021,TKM,29
2021,TLS,25
2021,TTO,14
2021,TUN,78
2021,TUR,549
2021,TWN,1161
2021,TZA,214
2021,UGA,60
2021,UKR,800
2021,URY,9
2021,USA,3265
2021,UZB,197
2021,VAT,5
2021,VEN,37
2021,VNM,1305
2021,VUT,9
2021,XXX,175
2021,YEM,1201
2021,ZAF,489
2021,ZMB,108
2021,ZWE,98
2022,MAR,5153
2022,ABW,2
2022,Afghanistan,865
2022,AGO,35
2022,AIA,1
2022,ALB,350
2022,AND,36
2022,ARE,3624
2022,ARG,2432
2022,ARM,258
2022,ATA,2
2022,ATG,140
2022,AUS,179375
2022,AUT,7026
2022,AZE,645
2022,BDI,31
2022,BEL,9146
2022,BEN,64
2022,BFA,42
2022,BGD,239144
2022,BGR,1559
2022,BHR,1349
2022,BHS,50
2022,BIH,407
2022,BLR,1360
2022,BLZ,51
2022,BOL,176
2022,BRA,6974
2022,BRB,51
2022,BRN,398291
2022,BTN,334
2022,BWA,124
2022,CAF,1
2022,CAN,36410
2022,CCK,2
2022,CHE,12202
2022,CHL,1251
2022,CHN,294311
2022,CIV,182
2022,CMR,191
2022,COD,69
2022,COG,16
2022,COL,1247
2022,COM,106
2022,CPV,23
2022,CRI,449
2022,CUB,212
2022,CYP,487
2022,CZE,3902
2022,DEU,68276
2022,DJI,122
2022,DMA,248
2022,DNK,9290
2022,DOM,127
2022,DZA,3700
2022,ECU,457
2022,EGY,14332
2022,ERI,114
2022,ESP,25221
2022,EST,1012
2022,ETH,298
2022,FIN,4791
2022,FJI,928
2022,FRA,70056
