state,year,visitors,income,latitude,longitude
Johor,2019,14.27,8013,1.937344,103.366585
Johor,2020,7.24,7264,1.937344,103.366585
Johor,2022,12.38,8517,1.937344,103.366585
Kedah,2019,14.83,5522,5.809826499,100.6715034
Kedah,2020,10.11,5005,5.809826499,100.6715034
Kedah,2022,11.19,5550,5.809826499,100.6715034
Kelantan,2019,10.99,4874,5.145506,101.654137
Kelantan,2020,6.06,4411,5.145506,101.654137
Kelantan,2022,6.63,4885,5.145506,101.654137
Melaka,2019,13.98,7741,2.346257,102.253067
Melaka,2020,7.28,7186,2.346257,102.253067
Melaka,2022,11.76,8057,2.346257,102.253067
Negeri Sembilan,2019,13.3,6707,2.879705,102.164253
Negeri Sembilan,2020,7.92,6184,2.879705,102.164253
Negeri Sembilan,2022,11.49,6788,2.879705,102.164253
Pahang,2019,18.5,5667,3.974341,102.438057
Pahang,2020,9.91,5144,3.974341,102.438057
Pahang,2022,13.19,5777,3.974341,102.438057
Pulau Pinang,2019,15.41,5645,5.285153,100.456238
Pulau Pinang,2020,8.93,5081,5.285153,100.456238
Pulau Pinang,2022,10,5779,5.285153,100.456238
Perak,2019,21.07,5476,4.69395,101.117577
Perak,2020,13.17,4971,4.69395,101.117577
Perak,2022,14.57,5664,4.69395,101.117577
Perlis,2019,2.09,7774,6.443589,100.216599
Perlis,2020,1.19,6850,6.443589,100.216599
Perlis,2022,1.67,8267,6.443589,100.216599
Selangor,2019,33.59,5745,3.509247,101.524803
Selangor,2020,19.72,5215,3.509247,101.524803
Selangor,2022,21.99,6171,3.509247,101.524803
Terengganu,2019,14.16,5959,4.8630743,102.9949297
Terengganu,2020,7.42,5087,4.8630743,102.9949297
Terengganu,2022,10.23,6457,4.8630743,102.9949297
Sabah,2019,22.04,10827,5.2,114.8
Sabah,2020,10.34,9668,5.2,114.8
Sabah,2022,12.59,12233,5.2,114.8
Sarawak,2019,19.79,6815,2.8,113.8
Sarawak,2020,9.39,6051,2.8,113.8
Sarawak,2022,15.47,7248,2.8,113.8
Kuala Lumpur,2019,22.63,13257,3.1516964,101.6942371
Kuala Lumpur,2020,12.44,11728,3.1516964,101.6942371
Kuala Lumpur,2022,16.91,13325,3.1516964,101.6942371
Labuan,2019,0.52,8319,5.3168335,115.2198613
Labuan,2020,0.11,7333,5.3168335,115.2198613
Labuan,2022,0.24,8250,5.3168335,115.2198613
Putrajaya,2019,1.95,12840,2.9384381,101.69223
Putrajaya,2020,0.45,12322,2.9384381,101.69223
Putrajaya,2022,1.31,13473,2.9384381,101.69223
