state,destination
Johor,Paradigm Mall Johor Bahru
Johor,Toppen Shopping Centre
Johor,Legoland Malaysia
Johor,Air Terjun Gunung Ledang
Johor,"The Mall, Mid Valley Southkey"
Kedah,Aman Central Mall
Kedah,Amanjaya Mall
Kedah,Pantai Cenang
Kedah,Dataran Lang
Kedah,Pantai Tanjung Dawai
Kelantan,AEON Lembah Sireh
Kelantan,Pasar Siti Khadijah
Kelantan,KB Mall
Kelantan,Pasar Malam Wakaf Che Yeh
Kelantan,Pantai Cahaya Bulan
Melaka,Pantai Klebang
Melaka,Jonker Street
Melaka,Mahkota Parade
Melaka,Dataran Pahlawan
Melaka,Zoo Melaka
Negeri Sembilan,Palm Mall Seremban
Negeri Sembilan,City Park Seremban 2
Negeri Sembilan,Dataran Nilai
Negeri Sembilan,Pantai Teluk Kemang
Negeri Sembilan,Pantai Port Dickson
Pahang,East Cost Mall (ECM)
Pahang,Pantai Teluk Cempedak
Pahang,Kuantan Parade
Pahang,Genting Highlands
Pahang,Cameron Highlands
Pulau Pinang,Queensbay Mall
Pulau Pinang,Pantai Batu Ferringhi
Pulau Pinang,Sunway Carnival Mall
Pulau Pinang,Gurney Plaza
Pulau Pinang,Bukit Bendera
Perak,Teluk Batik
Perak,Lumut Waterfront
Perak,Ipoh Night Market
Perak,Taman Rekreasi Gunung Lang
Perak,Pulau Pangkor
Perlis,Arked Niaga Padang Besar
Perlis,Medan Ikan Bakar Kuala Perlis
Perlis,Padang Waremart
Perlis,Hutan Lipur Bukit Ayer
Perlis,Menara Pandang Wang Kelian
Selangor,IOI City Mall
Selangor,Ikea Damansara
Selangor,Sunway Pyramid
Selangor,1 Utama Shopping Centre
Selangor,Batu Caves
Terengganu,KTCC Mall
Terengganu,Terengganu Drawbridge
Terengganu,Pantai Batu Buruk
Terengganu,Pasar Besar Kedai Payang
Terengganu,Pesisir Pantai Seberang Takir
Sabah,Imago Shopping Mall
Sabah,One Borneo Hypermall
Sabah,Suria Sabah Shopping Mall
Sabah,Centre Point Sabah
Sabah,Pantai Tanjung Aru
Sarawak,Daesco Star Mega Mall
Sarawak,The Spring Mall Bintulu
Sarawak,Pasar Sentral Sibu
Sarawak,Vivacity Megamall
Sarawak,Wisma Sanyan
W.P. Kuala Lumpur,SOGO
W.P. Kuala Lumpur,Mid Valley Megamall
W.P. Kuala Lumpur,Suria KLCC
W.P. Kuala Lumpur,Petaling Street Market
W.P. Kuala Lumpur,Pasar Seni
W.P. Labuan,Kompleks Ujana Kewangan
W.P. Labuan,Dataran Labuan
W.P. Labuan,Pantai Pohon Batu
W.P. Labuan,Kompleks Sukan Laut Antarabangsa Labuan
W.P. Labuan,Kampung Patau-Patau
W.P. Putrajaya,"Dataran Putrajaya, Presint 3"
W.P. Putrajaya,Alamanda Shopping Centre
W.P. Putrajaya,Masjid Putra
W.P. Putrajaya,Cruise Tasik Putrajaya
W.P. Putrajaya,Dataran Putra
